kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
協,"co-, cooperation",キョウ,"協議 (きょうぎ·1) = conference, consultation, discussion, negotiation; 妥協 (だきょう·0) = compromise, giving in; 農協 (のうきょう·0) = agricultural cooperative; 協同 (きょうどう·0) = doing together (as equals), sharing, cooperation, co-operation, collaboration",私は彼と協力した。,,私(わたし) は 彼(かれ) と 協力 為る(する),十 力,"汁,隼,針"
単,"simple, one, single, merely",タン; ひとえ,"単なる (たんなる·1) = mere, simple, sheer; 単に (たんに·1) = simply, merely, only, solely; 単位 (たんい·1) = unit, denomination, credit (in school); 単一 (たんいつ·0) = single, simple, sole, individual, unitary; 単語 (たんご·0) = word, vocabulary, (usually) single-character word",答は簡単でした。,,答え(#1449530) は 簡単 です,十 尚 田,"禅,戦,弾"
博,"Dr., command, esteem, win acclaim, Ph.D., exposition, fair","ハク, バク","博愛 (はくあい·0) = charity, benevolence, philanthropy, (love for) humanity; 博士 (はくし·1) = doctorate, PhD, Dr (as a title), expert, learned person; 博物館 (はくぶつかん·4) = museum; 博覧会 (はくらんかい·3) = fair, exhibition, exposition",彼の博識には驚く。,,彼(かれ) 博識 には 驚く,十 寸 田 丶,"専,薄,縛"
印,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India","イン; しるし, -じるし, しる.す","印鑑 (いんかん·0,3) = stamp, seal; 印刷 (いんさつ·0) = printing; 印紙 (いんし·0) = (revenue) stamp; 印象 (いんしょう·0) = impression; 調印 (ちょういん·0) = signature, signing, sealing",沈黙は承諾の印。,,沈黙 は 承諾 の 印(しるし),｜ 卩,"卯,迎,犯"
原,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",ゲン; はら,"原っぱ (はらっぱ·1) = open field, empty lot, plain; 原因 (げんいん·0) = cause, origin, source; 原稿 (げんこう·0) = manuscript, copy; 原稿用紙 (げんこうようし·5) = Japanese writing paper; 原告 (げんこく·0) = plaintiff, accuser, prosecutor",何が原因ですか。,,何 が 原因 ですか,小 白 厂,"源,願,線"
参,"nonplussed, three, going, coming, visiting, visit, be defeated, die","サン, シン; まい.る, まい-, まじわる, みつ","御参り (おまいり·0) = worship, shrine visit; 降参 (こうさん·0) = giving in to; 参る (まいる·1) = to go, to come, to call, to visit (shrine, grave); 参加 (さんか·0) = participation; 参議院 (さんぎいん·3) = House of Councillors",前記参照。,,前記 参照,一 厶 彡,"惨,至,雲"
反,anti-,"ハン, ホン, タン, ホ; そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","反する (はんする·3) = to be inconsistent with, to oppose, to contradict; 反応 (はんのう·0) = reaction, response; 反感 (はんかん·0) = antipathy, revolt, animosity; 反響 (はんきょう·0) = echo, reverberation, repercussion, reaction, influence; 反撃 (はんげき·0) = counterattack, counteroffensive, counterblow",反対投票多数。,,反対 投票 多数,又 厂,"返,版,板"
取,"take, fetch, take up","シュ; と.る, と.り, と.り-, とり, -ど.り","引取る (ひきとる·3) = to take charge of, to take over, to retire to a private place; 横取り (よこどり·0) = usurpation, snatching, seizure; 採取 (さいしゅ·1,0) = picking, collecting, harvesting; 搾取 (さくしゅ·1) = exploitation, squeezing, sweating; 取り扱う (とりあつかう·0,5) = to treat, to handle, to deal in",キーを取って。,,キー(#1040680) を 取る,耳 又,"趣,皮,最"
受,"accept, undergo, answer (phone), take, get, catch, receive","ジュ; う.ける, -う.け, う.かる","感受性 (かんじゅせい·0) = sensitivity; 受かる (うかる·2) = to pass (examination); 受けつぐ (うけつぐ·0,3) = to inherit, to succeed, to take over; 受け持つ (うけもつ·3,0) = to take (be in) charge of",受験に落ちた。,,受験 に 落ちる,爪 又 冖,"授,皮,浸"
史,"history, chronicle",シ,"史上 (しじょう·0) = historical; 歴史 (れきし·0) = history; 歴史的 (れきしてき·0) = historic, historical, traditional",歴史は繰り返す。,,歴史 は 繰り返す,ノ 口,"呂,宮,告"
号,"nickname, number, item, title, pseudonym, name, call","ゴウ; さけ.ぶ, よびな","記号 (きごう·0) = symbol, code, sign; 元号 (げんごう·3,0) = era name; 号 (ごう·1) = number, edition, make, model, issue, part of that group, sobriquet, pen-name; 信号 (しんごう·0) = traffic lights, signal, semaphore; 年号 (ねんごう·3) = name of an era, year number",信号は青だ。,,信号 は 青 だ,一 口 勹,"象,句,免"
司,"director, official, govt office, rule, administer",シ; つかさど.る,"司会 (しかい·0) = chairmanship, leading a meeting; 司法 (しほう·0,1) = administration of justice; 上司 (じょうし·1) = superior authorities, boss",寿司が嫌いです。,,寿司 が 嫌い です,一 口 亅,"可,阿,詞"
