kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
昔,"once upon a time, antiquity, old times","セキ, シャク; むかし","一昔 (ひとむかし·2,3) = ages, long time, decade, the past ten years; 昔 (むかし·0) = olden days, former; 昔話 (むかしばなし·4) = folklore, legend",昔はよかった。,,昔 は 良い,｜ 一 二 日,"普,措,惜"
星,"star, spot, dot, mark","セイ, ショウ; ほし, -ぼし",衛星 (えいせい·0) = satellite; 火星 (かせい·0) = Mars (planet); 星 (ほし·0) = star; 星座 (せいざ·0) = constellation,図星ですか？,,図星 ですか,生 日,"晶,昌,香"
昨,"yesterday, previous",サク,"昨年 (さくねん·0) = last year; 昨晩 (さくばん·2) = last night; 昨夜 (さくや·2) = evening, last night; 一昨日 (おととい·3) = day before yesterday; 一昨年 (おととし·2) = year before last",彼は昨日死んだ。,,彼(かれ) は 昨 日(ひ) 死ぬ,｜ ノ 日,"曲,旧,種"
昭,"shining, bright",ショウ,"昭和 (しょうわ·0,1) = Showa era (1926.12.25-1989.1.7)",昭和の次は平成です。,,昭和 の 次(つぎ) は 平成 です,口 刀 日,"照,唱,召"
景,"scenery, view",ケイ,"景気 (けいき·0) = condition, state, business (condition); 景色 (けしき·1) = scenery, scene, landscape; 光景 (こうけい·0,1) = scene, spectacle; 背景 (はいけい·0) = background, scenery, setting, circumstance; 不景気 (ふけいき·2) = business recession, hard times, depression, gloom, sullenness, cheerlessness",景気はどう？,,景気 は 如何(どう),口 小 日 亠,"影,唱,諒"
晴,clear up,"セイ; は.れる, は.れ, は.れ-, -ば.れ, は.らす","快晴 (かいせい·0) = good weather; 見晴らし (みはらし·0) = view; 晴天 (せいてん·0) = fine weather; 素晴しい (すばらしい·4) = wonderful, splendid, magnificent",晴れそうだ。,,晴れる そう だ,月 青 土 二 日 亠,"靖,請,精"
曲,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean","キョク; ま.がる, ま.げる","歌謡曲 (かようきょく·2) = popular song; 戯曲 (ぎきょく·0) = play, drama; 曲 (きょく·0,1) = tune, piece of music; 曲り角 (まがりかど·4,0) = street corner, road turn, bend in the road, turning point; 曲る (まがる·0) = to bend, to curve, to warp, to wind, to twist, to turn, to be awry, to be askew, to be crooked",一曲聞くか。,,一曲 聞く か,｜ 日,"旧,申,甲"
最,"utmost, most, extreme","サイ, シュ; もっと.も, つま","最も (もっとも·3) = most, extremely; 最悪 (さいあく·0) = the worst; 最期 (さいご·1) = one's last moment, one's time of death; 最強 (さいきょう·0) = strongest; 最近 (さいきん·0) = latest, most recent, nowadays",最近どうだ？,,最近 如何(どう) だ,一 耳 日 又,"暇,晋,旦"
望,"ambition, full moon, hope, desire, aspire to, expect","ボウ, モウ; のぞ.む, もち","冀望 (きぼう·0) = hope, wish, aspiration; 失望 (しつぼう·0) = disappointment, despair; 絶望 (ぜつぼう·0) = despair, hopelessness; 待ち望む (まちのぞむ·0) = to look anxiously for, to wait eagerly for; 待望 (たいぼう·0) = expectant waiting, long-awaited",失望するな。,,失望 為る(する) な,王 亡 月,"朋,瑚,豚"
期,"period, time, date, term","キ, ゴ","延期 (えんき·0) = postponement, adjournment; 過渡期 (かとき·2) = transition period; 学期 (がっき·0) = school term, semester; 期間 (きかん·2,1) = period, term; 期限 (きげん·1) = term, period, time frame, time limit, deadline, cutoff (date)",ここは今乾期です。,,此処 は 今(いま) 乾季 です,甘 月 ハ,"朋,八,欺"
未,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac","ミ, ビ; いま.だ, ま.だ, ひつじ","未開 (みかい·0) = savage land, backward region, uncivilized, uncivilised; 未婚 (みこん·0) = unmarried; 未熟 (みじゅく·0,1) = inexperience, unripeness, raw, unskilled, immature, inexperienced; 未遂 (みすい·0) = attempt (at crime); 未然 (みぜん·0) = before it happens, previously",未成年者お断り。,,未成年者 お断わり,｜ 二 ハ 木 亠,"魅,来,末"
末,"end, close, tip, powder, posterity","マツ, バツ; すえ","期末 (きまつ·0) = end of term; 結末 (けつまつ·0) = end, conclusion; 月末 (つきずえ·0,3) = end of the month; 跡始末 (あとしまつ·3) = settlement (of affairs), remedial measures, cleaning up afterwards; 歳末 (さいまつ·0) = year end",週末にね。,,週末 に ね(#2029080),｜ 一 ハ 木 亠,"茉,抹,束"
札,"tag, paper money, counter for bonds, placard, bid",サツ; ふだ,"改札 (かいさつ·0) = examination of tickets; 札 (ふだ·0) = token, label, ticket, card, charm, talisman; 入札 (にゅうさつ·0) = bid, bidding; 名札 (なふだ·0) = name plate, name tag; 落札 (らくさつ·0) = having one's bid accepted (eg for contract)",札幌の出身です。,,札幌 の 出身 です,乙 木,"礼,麻,閑"
材,"lumber, log, timber, wood, talent",ザイ,"材木 (ざいもく·0) = lumber, timber; 材料 (ざいりょう·3) = ingredients, material; 取材 (しゅざい·0) = collecting data (eg for a newspaper article), covering an event; 素材 (そざい·0) = raw materials, subject matter; 木材 (もくざい·2,0) = lumber, timber, wood",材質は何ですか。,,材質 は 何(なに) ですか,ノ 一 木 亅,"才,丞,本"
束,"bundle, sheaf, ream, tie in bundles, govern, manage, control","ソク; たば, たば.ねる, つか, つか.ねる","花束 (はなたば·2,3) = bunch of flowers, bouquet; 拘束 (こうそく·0) = restriction, restraint; 束 (たば·1) = bundle, bunch, sheaf, coil; 束縛 (そくばく·0) = restraint, shackles, restriction, confinement, binding; 約束 (やくそく·0) = arrangement, promise, appointment, pact, engagement, convention, rule",約束は約束。,,約束 は 約束,｜ 一 口 ハ 木,"速,亜,疎"
松,pine tree,ショウ; まつ,"松 (まつ·1) = pine tree, highest (of a three-tier ranking system); 松林 (まつばやし) = pine grove",これは格好のよい松の木だ。,,此れ は 格好のよい 松の木 だ,ハ 木 厶,"公,八,魅"
板,"plank, board, plate, stage","ハン, バン; いた","看板 (かんばん·0) = sign, signboard, doorplate, poster, billboard, appearance, figurehead, policy, attraction, closing time; 黒板 (こくばん·0) = blackboard; 板 (いた·1) = board, plank, sheet (of metal), plate (of glass), pane, slab, cutting board, chopping board, stage (ie at a theatre); 板画 (はんが·0) = woodcut, woodblock print, art print; 甲板 (こうはん·0) = (ship) deck",黒板を見なさい。,,黒板 を 見る 為さい,又 木 厂,"桑,反,皮"
果,"fruit, reward, carry out, achieve, complete, end, finish, succeed","カ; は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て","果たす (はたす·2) = to accomplish, to fulfill, to carry out, to achieve; 果実 (かじつ·1) = fruit, nut, berry; 果物 (かぶつ·1) = fruit; 逆効果 (ぎゃっこうか·3) = backfire, counterproductive, opposite effect",疲れ果てたよ。,,疲れ果てる よ,｜ 田 木,"柚,棟,東"
柱,"pillar, post, cylinder, support",チュウ; はしら,"柱 (はしら·3,0) = pillar, post, support, prop, mainstay, counter for buddhas, gods, nobles, etc.; 電柱 (でんちゅう·0) = telephone pole, telegraph pole, lightpole",技師が電柱を上った。,,技師 が 電柱 を 登る,王 木 丶,"琳,玉,球"
栄,"flourish, prosperity, honor, glory, splendor","エイ, ヨウ; さか.える, は.え, -ば.え, は.える, え","栄える (さかえる·3) = to prosper, to flourish; 栄光 (えいこう·0) = glory; 繁栄 (はんえい·0) = prospering, prosperity, thriving, flourishing",身に余る栄光。,,身に余る栄光,尚 木 冖,"覚,蛍,梢"
根,"root, radical, head (pimple)","コン; ね, -ね","屋根 (やね·1) = roof; 垣根 (かきね·2,3) = hedge; 根 (ね·1) = root; 根回し (ねまわし·2) = making necessary arrangements; 根気 (こんき·0) = patience, perseverance, persistence, tenacity, energy",彼は根が優しい。,,彼(かれ) は 根(ね) が 優しい,艮 木,"概,良,麻"
案,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry",アン; つくえ,"案の定 (あんのじょう·3) = just as one thought, as usual; 案外 (あんがい·1,0) = unexpectedly; 案内 (あんない·3) = information, guidance, leading, to guide, to show (around), to conduct; 提案 (ていあん·0) = proposal, proposition, suggestion; 答案 (とうあん·0) = examination paper, examination script",いい案だ！,,いい 案(あん) だ,女 木 宀,"安,楼,桜"
梅,plum,バイ; うめ,"梅雨入り (つゆいり·0) = entering the rainy season, beginning of the rainy season; 梅 (ウメ·0) = plum, Japanese apricot, prunus mume, lowest (of a three-tier ranking system); 梅干 (うめぼし·0) = dried plum; 梅雨明け (つゆあけ·0) = the end of the rainy season",梅雨です。,,梅雨 です,母 木 毋 乞,"毎,敏,侮"
械,"contraption, fetter, machine, instrument",カイ; かせ,"器械 (きかい·2) = machine, mechanism, instrument, appliance, apparatus",ようこそ機械へ。,,ようこそ 機械 へ,木 廾 戈,"戒,桟,栽"
植,plant,"ショク; う.える, う.わる","移植 (いしょく·0) = transplanting, porting, implantation, engrafting; 植える (うえる·0) = to plant, to grow; 植物 (しょくぶつ·2) = plant, vegetation; 植物園 (しょくぶつえん·4) = botanical garden; 植民地 (しょくみんち·3) = colony, colonial",植物が生える。,,植物 が 生える,十 木 目,"槙,相,汁"
極,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48","キョク, ゴク; きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる","窮極 (きゅうきょく·0) = ultimate, extreme, final, eventual; 極 (ごく·1) = quite, very, octillion, 10^48; 極楽 (ごくらく·0,4) = Sukhavati (Amitabha's Pure Land), paradise; 極限 (きょくげん·0,3) = utmost limits, limit; 極端 (きょくたん·3) = extreme, extremity",両極端は一致する。,,両極端 は 一致 為る(する),口 又 木 一,"桑,杏,本"
様,"Esq., way, manner, situation, polite suffix","ヨウ, ショウ; さま, さん","ご苦労様 (ごくろうさま·2) = thank you very much for your ..., I appreciate your efforts; 一様 (いちよう·0) = uniformity, evenness, similarity, equality, impartiality; 奥様 (おくさま·1) = wife, your wife, his wife, married lady, madam; 皆様 (みなさま·2) = everyone; 神様 (かみさま·1) = God",お客様は？,,お客様 は,王 水 并 木 羊,"羊,琳,養"
標,"signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target","ヒョウ; しるべ, しるし","目標 (もくひょう·0) = goal, target; 標準 (ひょうじゅん·0) = standard, norm; 商標 (しょうひょう·0) = trademark; 指標 (しひょう·0) = indicator",銃を標的にあわせろ。,,銃 を 標的 合わせる,示 二 小 西 木,"禁,票,襟"
横,"sideways, side, horizontal, width, woof",オウ; よこ,"横 (よこ·0) = horizontal (as opposed to vertical), lying down, side-to-side (as opposed to front-to-back), width, breadth, side (of a box, etc.), beside, aside, next to, unconnected; 横たわる (よこたわる·4) = to lie down, to stretch out; 横顔 (よこがお·0) = face in profile, profile, face seen from the side; 横綱 (よこづな·0) = yokozuna (sumo grand champion); 横取り (よこどり·0) = usurpation, snatching, seizure",横向きに寝る。,,横向き に 寝る,｜ 黄 田 二 日 ハ 木 廾,"柚,申,甲"
橋,bridge,キョウ; はし,"橋 (はし·2) = bridge; 桟橋 (さんばし·0) = wharf, bridge, jetty, pier; 鉄橋 (てっきょう·0) = railway bridge, iron bridge; 陸橋 (りっきょう·0) = overland bridge, viaduct, overhead bridge, overpass; 架け橋 (かけはし·2) = bridge building, cross-linking",橋は石造りだ。,,橋(はし) は 石造り だ,ノ 口 木 冂,"杏,尚,呂"
機,"mechanism, opportunity, occasion, machine, airplane",キ; はた,"危機 (きき·1,2) = crisis; 機会 (きかい·2,0) = chance, opportunity; 機関 (きかん·1,2) = mechanism, facility, engine, agency, organisation, institution, organ; 機関車 (きかんしゃ·2) = locomotive, engine; 機構 (きこう·0) = mechanism, organization, organisation",ご機嫌いかが？,,ご機嫌 如何(いかが),ノ 木 丶 幺 戈,"成,磯,幻"
欠,"lack, gap, fail, yawning radical (no. 76)","ケツ, ケン; か.ける, か.く","欠陥 (けっかん·0) = defect, fault, deficiency; 欠席 (けっせき·0) = absence, non-attendance; 欠点 (けってん·3) = faults, defect, weakness; 欠如 (けつじょ·1) = lack, privation, deficiency; 欠乏 (けつぼう·0) = want, shortage, famine",ガス欠です。,,ガス欠 です,勹 人,"傷,旬,囚"
次,"next, order, sequence","ジ, シ; つ.ぐ, つぎ","月次 (げつじ·0) = every month, trite, common; 次いで (ついで·0) = next, secondly, subsequently; 次ぐ (つぐ·0) = to rank next to, to come after; 次回 (じかい·1,0) = next time (occasion); 次元 (じげん·0) = dimension, perspective, point of reference, level (of something)",君次第だよ。,,君(きみ) 次第 だ よ,欠 冫,"盗,姿,諮"
歯,"tooth, cog","シ; よわい, は, よわ.い, よわい.する","歯 (は·1) = tooth; 歯ブラシ (はブラシ·2) = toothbrush; 歯医者 (はいしゃ·1) = dentist; 歯科 (しか·1,2) = dentistry; 歯止め (はどめ·0,3) = brake",歯が痛い。,,歯 が 痛い,止 米 凵,"齢,凹,迷"
歴,"curriculum, continuation, passage of time","レキ, レッキ","学歴 (がくれき·0) = academic background; 歴る (へる) = to pass, to elapse, to experience; 経歴 (けいれき·0) = personal history, career; 履歴 (りれき·0) = personal history, background, career, log; 履歴書 (りれきしょ·4,3,0) = personal history, curriculum vitae, resume",歴史は繰り返す。,,歴史 は 繰り返す,止 麻 木 厂 广,"暦,麻,床"
残,"remainder, leftover, balance","ザン, サン; のこ.る, のこ.す, そこな.う, のこ.り","残り (のこり·3) = remnant, residue, remaining, left-over; 残業 (ざんぎょう·0) = overtime (work); 残高 (ざんだか·1,0) = (bank) balance, remainder; 残酷 (ざんこく·0) = cruelty, harshness; 残暑 (ざんしょ·1) = lingering summer heat",残念だ！,,残念 だ,歹 戈 二,"銭,浅,桟"
殺,"kill, murder, butcher, slice off, split, diminish, reduce, spoil","サツ, サイ, セツ; ころ.す, -ごろ.し, そ.ぐ","暗殺 (あんさつ·0) = assassination; 虐殺 (ぎゃくさつ·0) = atrocity, massive killing; 殺す (ころす·0) = to kill; 殺人 (さつじん·0) = murder; 殺到 (さっとう·0) = rush, flood",君は殺人犯だ。,,君(きみ) は 殺人犯 だ,木 殳 ノ 丶 几 又,"殴,桑,机"
毒,"poison, virus, venom, germ, harm, injury, spite",ドク,"気の毒 (きのどく·3,4) = pitiful, (a) pity; 消毒 (しょうどく·0) = disinfection, sterilization, sterilisation; 中毒 (ちゅうどく·1) = poisoning, addiction; 毒 (どく·2) = poison, toxicant; 毒薬 (どくやく·0) = poison",お気の毒様。,,お気の毒 様(さま),土 母 亠 毋 二,"麦,彗,衣"
毛,"fur, hair, feather, down",モウ; け,"髪の毛 (かみのけ·3) = hair (head); 不毛 (ふもう·0) = sterile, barren, unproductive, sour; 毛 (け·0) = hair, fur; 毛糸 (けいと·0) = knitting wool; 毛皮 (もうひ·1) = fur, skin, pelt",毛布をください。,,毛布 を 下さい,,
氏,"family name, surname, clan","シ; うじ, -うじ","氏名 (しめい·1) = full name, identity",人は氏より育ち。,,人(ひと) は 氏(うじ) より 育ち,,
氷,"icicle, ice, hail, freeze, congeal","ヒョウ; こおり, ひ, こお.る","氷山 (ひょうざん·1) = iceberg; 氷る (こおる·0) = to freeze, to be frozen over, to congeal",氷が溶けている。,,氷(こおり) が 溶ける,水 丶,"永,詠,球"
求,"request, want, wish for, require, demand","キュウ, グ; もと.める","求人 (きゅうじん·0) = offer of job (situation); 請求 (せいきゅう·0) = claim, demand, charge, application, request, billing (for a service); 追求 (ついきゅう·0) = pursuing (goal), pursuit, seeking, search, to pursue (eg goal), to seek; 要求 (ようきゅう·0) = demand, firm request, requisition; 欲求 (よっきゅう·0) = desire",名声を求めるな。,,名声 を 求める な,一 水 丶,"永,氷,詠"
決,"decide, fix, agree upon, appoint","ケツ; き.める, -ぎ.め, き.まる, さ.く","可決 (かけつ·0) = approval, adoption (eg motion, bill), passage; 解決 (かいけつ·0) = settlement, solution, resolution; 議決 (ぎけつ·0) = resolution, decision, vote; 決して (けして·0) = never, by no means; 決める (きめる·0) = to decide",投票で決める。,,投票 で(#2028980) 決める,汁 人 大 二 ユ,"快,潜,渓"
汽,"vapor, steam",キ,"汽車 (きしゃ·2) = train (steam); 汽船 (きせん·0) = steamship, steamboat, steamer; 汽笛 (きてき·0) = steam whistle",あ、汽車が来た。,,あ 汽車 が 来る(くる),汁 气 乞,"竹,気,激"
油,"oil, fat","ユ, ユウ; あぶら","原油 (げんゆ·0) = crude oil; 石油 (せきゆ·0) = oil, petroleum, kerosene; 灯油 (とうゆ·0) = lamp oil, kerosene; 油 (あぶら·0) = oil; 油絵 (あぶらえ·3) = oil painting",水は油よりも重い。,,水(みず) は 油 よりも 重い,｜ 汁 日 田,"申,甲,由"
治,"reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve","ジ, チ; おさ.める, おさ.まる, なお.る, なお.す","治まる (おさまる·3) = to be at peace, to clamp down, to lessen (storm, terror, anger); 治める (おさめる·3) = to govern, to manage, to subdue; 治安 (ちあん·0,1) = public order; 治療 (ちりょう·0) = medical treatment, cure; 自治 (じち·1) = self-government, autonomy",風が治まった。,,風(かぜ) が 治まる,口 汁 厶,"舌,石,胎"
法,"method, law, rule, principle, model, system","ホウ, ハッ, ホッ, フラン; のり","違法 (いほう·0) = illegal, illegality, unlawfulness; 憲法 (けんぽう·1) = constitution; 合法 (ごうほう·0) = legal, lawful, legality; 司法 (しほう·0,1) = administration of justice; 寸法 (すんぽう·0) = measurement, size, extent, dimension",釈迦に説法。,,釈迦に説法,汁 土 厶,"渥,圭,至"
波,"waves, billows, Poland",ハ; なみ,"寒波 (かんぱ·1) = cold wave; 電波 (でんぱ·1) = electro-magnetic wave, radio wave, nonsense; 波長 (はちょう·0) = wavelength; 波瀾 (はらん·0) = troubles, ups and downs, stormy, uproarious (ie relationship)",波が高い。,,波 が 高い,汁 皮 又,"婆,皮,被"
泣,"cry, weep, moan",キュウ; な.く,"泣き声 (なきごえ·3,0) = cry, crying voice; 泣虫 (なきむし) = crybaby",彼女は泣いた。,,彼女 は 泣く,汁 立,"滝,滴,酒"
泳,swim,エイ; およ.ぐ,水泳 (すいえい·0) = swimming,彼は泳げる。,,彼(かれ) は 泳ぐ,汁 水 丶,"永,氷,詠"
活,"lively, resuscitation, being helped, living","カツ; い.きる, い.かす, い.ける","活気 (かっき·0) = energy, liveliness; 活字 (かつじ·0) = printing type; 活動 (かつどう·0) = action, activity; 活溌 (かっぱつ·0) = vigor, vigour, active, lively; 活躍 (かつやく·0) = activity (esp. energetic), great efforts, conspicuous service, to flourish, to participate actively, to play an active role",放蕩生活を送る。,,放蕩生活 を 送る,ノ 口 十 汁 舌,"括,呂,叶"
流,"current, a sink, flow, forfeit","リュウ, ル; なが.れる, なが.れ, なが.す, -なが.す","一流 (いちりゅう·0) = first-class, top grade, school (of art), foremost, top-notch, unique; 下流 (かりゅう·0) = downstream, lower reaches of a river, lower classes; 海流 (かいりゅう·0) = ocean current; 交流 (こうりゅう·0) = intercourse, (cultural) exchange, intermingling, alternating current; 三流 (さんりゅう·0) = 3rd rate",水に流す。,,水(みず) に 流す,汁 川 亠 厶,"琉,衣,硫"
浅,"shallow, superficial, frivolous, wretched, shameful",セン; あさ.い,"浅い (あさい·0,2) = shallow, superficial; 浅薄 (せんぱく) = superficiality, shallowness",眠りが浅いんだ。,,眠り が 浅い のだ,汁 戈 二,"銭,残,桟"
浴,"bathe, be favored with, bask in","ヨク; あ.びる, あ.びせる","海水浴 (かいすいよく·3) = sea bathing, seawater bath; 日光浴 (にっこうよく·3) = sunbathing; 入浴 (にゅうよく·0) = bathe, bathing; 浴びせる (あびせる·0) = to pour on; 浴びる (あびる·0) = to bathe, to bask in the sun, to shower",彼は毎朝入浴します。,,彼(かれ) は 毎朝 入浴 為る(する),口 汁 谷 ハ 个,"溶,谷,沿"
消,"extinguish, blow out, turn off, neutralize, cancel","ショウ; き.える, け.す","解消 (かいしょう·0) = cancellation, liquidation, resolution, reduction (eg of stress); 取消す (とりけす·0,3) = to cancel, to revoke; 消える (きえる·0) = to go out, to vanish, to disappear; 消しゴム (けしゴム·0) = eraser, India rubber; 消す (けす·0) = to erase, to delete, to cross out, to turn off power, to extinguish, to put out, to bump off",火を消せ。,,火(ひ) を 消す,月 汁 尚,"肖,朋,脳"
深,"deep, heighten, intensify, strengthen","シン; ふか.い, -ぶか.い, ふか.まる, ふか.める, み-","深ける (ふける·2) = to get late, to advance, to wear on; 深い (ふかい·2) = deep, profound, thick, close; 深まる (ふかまる·3) = to deepen, to heighten, to intensify; 深味 (ふかみ·3,0,2) = depth, deep place; 深める (ふかめる·3) = to deepen, to heighten, to intensify",この湖は深い。,,此の 湖(みずうみ) は 深い,汁 木 儿 冖,"探,滞,洸"
清,"pure, purify, cleanse, exorcise, Manchu dynasty","セイ, ショウ, シン; きよ.い, きよ.まる, きよ.める","清む (すむ·1) = to clear (eg weather), to become transparent; 清らか (きよらか·2) = clean, pure, chaste; 清潔 (せいけつ·0) = clean; 清算 (せいさん·0) = liquidation, settlement; 清掃 (せいそう·0) = cleaning",君の手は清潔ですか。,,君(きみ) 手 は 清潔 ですか,月 汁 青 土 二 亠,"靖,請,精"
温,warm,"オン; あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく","温室 (おんしつ·0) = greenhouse, hothouse, conservatory, glasshouse; 温泉 (おんせん·0) = spa, hot spring, onsen; 温帯 (おんたい·0) = temperate zone; 温暖 (おんだん·0) = warmth; 温度 (おんど·1) = temperature",体温を計る。,,体温 を 計る,皿 汁 日,"血,晶,昌"
港,harbor,コウ; みなと,空港 (くうこう·0) = airport,空港まで送るよ。,,空港 迄 送る よ,汁 ハ 已 井,"巳,己,八"
湖,lake,コ; みずうみ,"湖 (みずうみ·3) = lake; 湖畔 (こはん) = lakeside",この湖は深い。,,此の 湖(みずうみ) は 深い,月 口 十 汁,"胡,叶,古"
湯,"hot water, bath, hot spring",トウ; ゆ,"銭湯 (せんとう·1) = bath-house, public bath; 湯 (ゆ·1) = hot water; 湯気 (ゆげ·1) = steam, vapour, vapor; 熱湯 (ねっとう·0) = boiling water",いい湯だなあ。,,いい 湯 だ な,｜ 一 汁 日 勿,"湿,曹,暢"
満,"full, enough, pride, satisfy","マン, バン; み.ちる, み.つ, み.たす","円満 (えんまん·0) = perfection, harmony, peace, smoothness, completeness, satisfaction, integrity; 肥満 (ひまん·0) = corpulence, fatness, obesity; 不満 (ふまん·0) = dissatisfaction, displeasure, discontent, complaints, unhappiness, disgruntled; 満員 (まんいん·0) = full house, no vacancy, sold out, standing room only, full (of people), crowded; 満月 (まんげつ·1) = full moon",満席です。,,満席 です,｜ 一 汁 二 冂 山 艾,"両,華,溝"
漁,"fishing, fishery","ギョ, リョウ; あさ.る",漁業 (ぎょぎょう·1) = fishing (industry); 漁師 (りょうし·1) = fisherman; 漁船 (ぎょせん·0) = fishing boat; 漁村 (ぎょそん·0) = fishing village,漁夫の利。,,漁夫 の 利,魚 汁 田 杰,"魚,鯉,鮎"
灯,"lamp, a light, light, counter for lights","トウ; ひ, ほ-, ともしび, とも.す, あかり","灯台 (とうだい·0) = lighthouse; 灯油 (とうゆ·0) = lamp oil, kerosene; 灯かり (あかり) = light, brightness, glow, gleam, light, lights, lamp, lamplight",灯りが点いた。,,明かり が 点く,一 火 亅,"了,丁,炎"
炭,"charcoal, coal",タン; すみ,石炭 (せきたん·3) = coal; 炭 (すみ·2) = charcoal; 炭酸 (たんさん·0) = carbonic acid,石炭が燃えている。,,石炭 が 燃える,火 山 厂,"灰,炎,岸"
点,"spot, point, mark, speck, decimal point","テン; つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち","句読点 (くとうてん·2) = punctuation mark(s); 欠点 (けってん·3) = faults, defect, weakness; 原点 (げんてん·1,0) = origin (coordinates), starting point; 減点 (げんてん·0) = subtract, give a demerit; 採点 (さいてん·0) = marking, grading, looking over",灯りが点いた。,,明かり が 点く,口 卜 杰,"占,鮎,馬"
無,"nothingness, none, ain't, nothing, nil, not","ム, ブ; な.い","間も無く (まもなく·2) = soon, before long, in a short time, (after verb) lacking time to ..., without time to ...; 虚無 (きょむ·1) = nihility, nothingness; 台無し (だいなし·0) = mess, spoiled, spoilt, (come to) nothing",入場無料。,,入場 無料,｜ ノ 一 杰 乞,"垂,乃,丑"
然,"sort of thing, so, if so, in that case, well","ゼン, ネン; しか, しか.り, しか.し, さ","依然 (いぜん·0) = still, as yet, as it has been; 偶然 (ぐうぜん·0) = (by) chance, unexpectedly, suddenly, accident, fortuity; 公然 (こうぜん·0) = open (eg secret), public, official, overt; 自然 (しぜん·0) = nature, spontaneity, naturally, spontaneously; 自然科学 (しぜんかがく·4) = natural science",偶然だね！,,偶然 だ ね(#2029080),犬 夕 杰,"燃,馬,多"
焼,"bake, burning","ショウ; や.く, や.き, や.き-, -や.き, や.ける","焼そば (やきそば·0) = fried soba; 焼酎 (しょうちゅう·3) = shochu (Japanese liquor similar to vodka); 燃焼 (ねんしょう·0) = burning, combustion; 夕焼け (ゆうやけ·0) = sunset; 日焼 (ひやけ·0) = sunburn, suntan",家は全焼した。,,家(いえ) は 全焼 為る(する),火 十 儿,"炎,汁,克"
照,"illuminate, shine, compare, bashful","ショウ; て.る, て.らす, て.れる","参照 (さんしょう·0) = reference, bibliographical reference, consultation, browsing (eg when selecting a file to upload on a computer); 照らす (てらす·0,2) = to shine on, to illuminate; 照る (てる·1) = to shine; 照会 (しょうかい·0) = inquiry, enquiry, query, reference; 照明 (しょうめい·0) = illumination",前記参照。,,前記 参照,口 刀 日 杰,"昭,唱,召"
熱,"heat, temperature, fever, mania, passion",ネツ; あつ.い,"解熱 (げねつ·0) = alleviation of fever; 光熱費 (こうねつひ·4,3) = cost of fuel and light; 高熱 (こうねつ·0) = high fever, pyro-; 情熱 (じょうねつ·0) = passion, enthusiasm, zeal; 熱 (ねつ·2) = fever, temperature",平熱です。,,平熱 です,土 九 丶 儿 杰,"勢,丸,馬"
牧,"breed, care for, shepherd, feed, pasture",ボク; まき,"牧畜 (ぼくちく·0) = stock-farming; 牧場 (まきば·0) = farm (livestock), ranch (US), station (Aus, NZ), pasture land, meadow, grazing land",牧師は十字架を作った。,,牧師 は 十字架 を 作る,牛 攵 乞,"竹,枚,敢"
玉,"jewel, ball","ギョク; たま, たま-, -だま","玉 (たま·2) = ball, sphere, coin, jewel, pearl, testicles, staple (for a stapler), person (when commenting on their nature), character; 御年玉 (おとしだま·0) = New Year's gift; 目玉 (めだま·3) = eyeball, loss leader, drawcard; 玉子 (たまご·2,0) = eggs, egg, spawn, roe, cooked (usually boiled) hen egg, (an expert) in the making; 目玉商品 (めだましょうひん·4) = bargain goods, eye-catching goods, featured product, loss leader",艱難汝を玉にす。,,艱難 汝(なんじ) を 玉(たま) に 為る(する),王 丶,"球,柱,往"
王,"king, rule, magnate","オウ, -ノウ","王国 (おうこく·0) = kingdom, monarchy; 王子 (おうじ·1) = prince; 王者 (おうじゃ·1) = king, monarch, ruler; 王女 (おうじょ·1) = princess; 王さま (おうさま·0) = king",女王万歳。,,女王 万歳(ばんざい),,
球,"ball, sphere",キュウ; たま,"球 (たま·2) = globe, sphere, ball; 地球 (ちきゅう·0) = the earth; 電球 (でんきゅう·0) = light bulb; 野球 (やきゅう·0) = baseball",地球は丸い。,,地球 は 丸い,王 水 丶,"玉,永,氷"
由,"wherefore, a reason","ユ, ユウ, ユイ; よし, よ.る","経由 (けいゆ·0,1) = go by the way, via; 自由 (じゆう·2) = freedom, liberty, as it pleases you; 不自由 (ふじゆう·1) = discomfort, inconvenience, poverty, want, destitution, disability; 由 (よし·1) = reason, significance, cause; 由緒 (ゆいしょ·1) = history, pedigree, lineage",俺は自由な男。,,俺(おれ) は 自由 男,｜ 日 田,"申,甲,迪"
